"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","04-Aug-2014","       2516.40","       2532.00","       2541.90","       2488.00","       2527.50","       2526.05","       2517.98","     914318","          2302234098.80","      49092","     492198","         53.83"
"TCS","EQ","05-Aug-2014","       2526.05","       2544.90","       2545.00","       2490.10","       2524.00","       2523.70","       2520.22","     702328","          1770022632.30","      44849","     366196","         52.14"
"TCS","EQ","06-Aug-2014","       2523.70","       2516.15","       2534.85","       2490.25","       2512.55","       2506.65","       2510.80","     918781","          2306877092.30","      46871","     604757","         65.82"
"TCS","EQ","07-Aug-2014","       2506.65","       2490.00","       2495.00","       2459.05","       2468.90","       2469.80","       2472.72","     836328","          2068008431.80","      43519","     441551","         52.80"
"TCS","EQ","08-Aug-2014","       2469.80","       2465.00","       2507.70","       2465.00","       2479.00","       2478.70","       2484.90","     732395","          1819928917.35","      37930","     278109","         37.97"
"TCS","EQ","11-Aug-2014","       2478.70","       2490.90","       2495.55","       2455.00","       2464.30","       2468.40","       2475.25","     645448","          1597643654.35","      37616","     349673","         54.18"
"TCS","EQ","12-Aug-2014","       2468.40","       2489.90","       2489.90","       2440.20","       2469.65","       2471.75","       2459.71","     492276","          1210857308.45","      30316","     257233","         52.25"
"TCS","EQ","13-Aug-2014","       2471.75","       2470.00","       2530.00","       2470.00","       2500.00","       2500.05","       2501.07","    1384189","          3461956740.95","      69764","     909274","         65.69"
"TCS","EQ","14-Aug-2014","       2500.05","       2514.00","       2532.00","       2490.05","       2496.00","       2499.75","       2510.16","     789028","          1980586975.00","      59273","     540743","         68.53"
"TCS","EQ","18-Aug-2014","       2499.75","       2491.05","       2505.00","       2470.00","       2481.00","       2487.60","       2485.67","     686630","          1706732411.90","      73851","     466989","         68.01"
"TCS","EQ","19-Aug-2014","       2487.60","       2500.00","       2504.90","       2435.00","       2438.00","       2438.50","       2446.29","    1617078","          3955843991.90","      98599","    1254346","         77.57"
"TCS","EQ","20-Aug-2014","       2438.50","       2444.50","       2455.05","       2430.05","       2438.85","       2436.20","       2439.66","    1028379","          2508895255.85","      39277","     755778","         73.49"
"TCS","EQ","21-Aug-2014","       2436.20","       2447.00","       2460.00","       2430.00","       2432.50","       2432.45","       2440.14","    1132725","          2764009129.50","      64360","     777345","         68.63"
"TCS","EQ","22-Aug-2014","       2432.45","       2444.00","       2468.20","       2435.80","       2462.00","       2464.20","       2455.23","    1548119","          3800985729.30","      83872","    1123041","         72.54"
"TCS","EQ","25-Aug-2014","       2464.20","       2470.00","       2528.50","       2466.90","       2521.70","       2522.05","       2511.52","    1571756","          3947495581.85","      50860","    1117085","         71.07"
"TCS","EQ","26-Aug-2014","       2522.05","       2529.00","       2550.00","       2500.00","       2528.45","       2533.80","       2534.69","     907745","          2300851787.90","      49485","     569931","         62.79"
"TCS","EQ","27-Aug-2014","       2533.80","       2534.00","       2567.40","       2514.05","       2547.90","       2549.95","       2552.51","     717730","          1832013110.60","      46881","     424707","         59.17"
"TCS","EQ","28-Aug-2014","       2549.95","       2547.00","       2549.30","       2513.00","       2516.70","       2522.35","       2528.60","     883144","          2233122263.70","      40308","     589093","         66.70"
"TCS","EQ","01-Sep-2014","       2522.35","       2525.40","       2560.00","       2523.05","       2538.75","       2537.15","       2544.34","     405074","          1030647526.25","      33608","     258746","         63.88"
"TCS","EQ","02-Sep-2014","       2537.15","       2545.80","       2554.80","       2514.10","       2542.00","       2537.90","       2541.45","     703970","          1789105321.75","      37899","     438610","         62.31"
"TCS","EQ","03-Sep-2014","       2537.90","       2539.00","       2616.00","       2539.00","       2602.90","       2606.40","       2598.30","    1530845","          3977590349.50","      72768","     864675","         56.48"
"TCS","EQ","04-Sep-2014","       2606.40","       2622.00","       2627.45","       2577.45","       2577.65","       2584.75","       2594.71","     850799","          2207573908.25","      57553","     580032","         68.17"
